movie_genres,movie_id,movie_title
[4],1681,You So Crazy (1994)
[4 7],1457,Love Is All There Is (1996)
[1 3],500,Fly Away Home (1996)
[0],838,In the Line of Duty 2 (1987)
[7],1648,"Niagara, Niagara (1997)"
[5],547,"Young Poisoner's Handbook, The (1995)"
[7],387,"Age of Innocence, The (1993)"
[7],1495,Flirt (1995)
[7],817,Frisk (1995)
[17],267,unknown
[7],1637,Girls Town (1996)
[7],1396,Stonewall (1995)
[ 0  1 14 18],498,"African Queen, The (1951)"
[ 7 16],852,"Bloody Child, The (1996)"
[ 0 16],685,Executive Decision (1996)
[0 1 4 5],231,Batman Returns (1992)
[ 4 18],719,Canadian Bacon (1994)
[3 7 8],308,FairyTale: A True Story (1997)
[10],445,"Body Snatcher, The (1945)"
[ 4 14],486,Sabrina (1954)
[ 1 15 16],355,Sphere (1998)
[7],1592,"Magic Hour, The (1998)"
[7],923,Raise the Red Lantern (1991)
[1 3],1033,Homeward Bound II: Lost in San Francisco (1996)
[4 5],248,Grosse Pointe Blank (1997)
[ 0  7 16],244,Smilla's Sense of Snow (1997)
[7],1285,Princess Caraboo (1994)
[ 4  7 14],512,Wings of Desire (1987)
[7],1578,"Collectionneuse, La (1967)"
[4],40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
[1 3],1031,Lassie (1994)
[7],1546,Shadows (Cienie) (1988)
[7],1541,"Beans of Egypt, Maine, The (1994)"
[ 7 12],543,"Misérables, Les (1995)"
[4],1479,Reckless (1995)
[7],1518,Losing Isaiah (1995)
[7],1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
[ 4 10],637,"Howling, The (1981)"
[7],896,"Sweet Hereafter, The (1997)"
[7],1405,Boy's Life 2 (1997)
[10],447,Carrie (1976)
[ 5  7 13],1669,MURDER and murder (1996)
[ 4 12],629,Victor/Victoria (1982)
[15],760,Screamers (1995)
[7],920,Two Bits (1995)
[4],1527,Senseless (1998)
[7],981,Dangerous Ground (1997)
[4],1093,Live Nude Girls (1995)
[7],1323,"Wooden Man's Bride, The (Wu Kui) (1994)"
[3 4],539,Mouse Hunt (1997)
[ 7 18],647,Ran (1985)
[4 7],1588,Salut cousin! (1996)
[4 7],1165,Big Bully (1996)
[15],434,Forbidden Planet (1956)
[7],136,Mr. Smith Goes to Washington (1939)
[ 7 18],180,Apocalypse Now (1979)
[7],614,Giant (1956)
[7],1328,Of Love and Shadows (1994)
[5 7],56,Pulp Fiction (1994)
[4],907,Vermin (1998)
[ 0 16],144,Die Hard (1988)
[ 0  1  7 14],720,First Knight (1995)
[0 1 4 5],29,Batman Forever (1995)
[4],1494,"Mostro, Il (1994)"
[7],1583,"Invitation, The (Zaproszenie) (1986)"
[7],958,To Live (Huozhe) (1994)
[1 3 4],151,Willy Wonka and the Chocolate Factory (1971)
[ 4 16],992,Head Above Water (1996)
[4],290,Fierce Creatures (1997)
[ 0  1  4 10],201,Evil Dead II (1987)
[0 1 5],254,Batman & Robin (1997)
[4 7],65,What's Eating Gilbert Grape (1993)
[1 4 7],655,Stand by Me (1986)
[ 7 10],784,Beyond Bedlam (1993)
[4],1114,Faithful (1996)
[7],980,Mother Night (1996)
[2 3],1409,"Swan Princess, The (1994)"
[7],262,In the Company of Men (1997)
[ 7 14],283,Emma (1996)
[ 7 14],903,Afterglow (1997)
[10],861,Nosferatu a Venezia (1986)
[7],1389,Mondo (1996)
[ 0  5 16],1139,Hackers (1995)
[7],1266,Bread and Chocolate (Pane e cioccolata) (1973)
[3 7],626,So Dear to My Heart (1949)
[ 3  4 12],91,"Nightmare Before Christmas, The (1993)"
[13 16],291,Absolute Power (1997)
[ 0  1 15],82,Jurassic Park (1993)
[ 0  1 15],380,Star Trek: Generations (1994)
[0 3],1415,"Next Karate Kid, The (1994)"
[19],1454,Angel and the Badman (1947)
[ 4  7 14],1115,Twelfth Night (1996)
[ 0 16],752,"Replacement Killers, The (1998)"
[4],1463,"Boys, Les (1997)"
[ 9 13 16],1313,Palmetto (1998)
[ 7 14],1315,Inventing the Abbotts (1997)
[7],960,Naked (1993)
[4],1179,Man of the House (1995)
[ 0  1 15],230,Star Trek IV: The Voyage Home (1986)
[ 7 18],528,"Killing Fields, The (1984)"
[ 0 14 16],1089,Speed 2: Cruise Control (1997)
[7],496,It's a Wonderful Life (1946)
[7],1320,Homage (1995)
[4],1504,"Bewegte Mann, Der (1994)"
[16],1549,Dream Man (1995)
[ 0 16],550,Die Hard: With a Vengeance (1995)
[4],1014,Romy and Michele's High School Reunion (1997)
[4],238,Raising Arizona (1987)
[7],1075,"Man of No Importance, A (1994)"
[7],317,In the Name of the Father (1993)
[7],658,Pump Up the Volume (1990)
[ 7 18],1423,"Walking Dead, The (1995)"
[3 7],1473,"Little Princess, The (1939)"
[ 7 15],7,Twelve Monkeys (1995)
[ 2  3 12],588,Beauty and the Beast (1991)
[5],1245,Gridlock'd (1997)
[10],1243,Night Flier (1997)
[ 0  1 16],1314,Surviving the Game (1994)
[6 7],847,Looking for Richard (1996)
[6],954,Unzipped (1995)
[ 4 10],123,"Frighteners, The (1996)"
[ 7 14],1662,Rough Magic (1995)
[ 0 16],597,Eraser (1996)
[ 7 14 18 19],51,Legends of the Fall (1994)
[6],1307,Carmen Miranda: Bananas Is My Business (1994)
[14],1096,Commandments (1997)
[6],48,Hoop Dreams (1994)
[5],991,Keys to Tulsa (1997)
[ 0 16 18],879,"Peacemaker, The (1997)"
[4 7],1465,Last Summer in the Hamptons (1995)
[16],1090,Sliver (1993)
[6 7],1366,JLG/JLG - autoportrait de décembre (1994)
[7],1388,Gabbeh (1996)
[0 1],148,"Ghost and the Darkness, The (1996)"
[0 7],808,"Program, The (1993)"
[ 0 10],668,Blood Beach (1981)
[ 0  5 14],1610,"Truth or Consequences, N.M. (1997)"
[4 7],34,"Doom Generation, The (1995)"
[7],660,Fried Green Tomatoes (1991)
[ 0 16],295,Breakdown (1997)
[7],962,Ruby in Paradise (1993)
[0],586,Terminal Velocity (1994)
[7],1572,Wend Kuuni (God's Gift) (1982)
[6],677,Fire on the Mountain (1996)
[7],880,Soul Food (1997)
[ 0 14 18],241,"Last of the Mohicans, The (1992)"
[13 16],505,Dial M for Murder (1954)
[0],1364,Bird of Prey (1996)
[ 4 14],202,Groundhog Day (1993)
[7],1158,"Fille seule, La (A Single Girl) (1995)"
[16],1046,Malice (1993)
[7],1350,Crows and Sparrows (1949)
[ 7 16],974,Eye for an Eye (1996)
[7],1565,Daens (1992)
[ 7 14],1429,Sliding Doors (1998)
[7],1532,Foreign Student (1994)
[7],915,Primary Colors (1998)
[ 0  4  5 10 16],17,From Dusk Till Dawn (1996)
[ 7 16],1109,Death and the Maiden (1994)
[ 4  5  7 13],312,Midnight in the Garden of Good and Evil (1997)
[14 18],1357,For the Moment (1994)
[7],882,Washington Square (1997)
[7],464,Vanya on 42nd Street (1994)
[ 4  7 14],778,Don Juan DeMarco (1995)
[4],41,Billy Madison (1995)
[4 7],1333,Midnight Dancers (Sibak) (1994)
[4],1322,Metisse (Café au Lait) (1993)
[10 16],860,"Believers, The (1987)"
[0 7],1231,Marked for Death (1990)
[ 7 14],20,Angels and Insects (1995)
[19],661,High Noon (1952)
[4 7],1186,"Inkwell, The (1994)"
[4],1361,"Search for One-eye Jimmy, The (1996)"
[4 5 7],1104,C'est arrivé près de chez vous (1992)
[4],294,Liar Liar (1997)
[4],1140,"Road to Wellville, The (1994)"
[4],301,In & Out (1997)
[7],1512,"World of Apu, The (Apur Sansar) (1959)"
[16],1077,Love and a .45 (1994)
[7],1236,"Other Voices, Other Rooms (1997)"
[4],1283,Out to Sea (1997)
[ 7 18],205,Patton (1970)
[0 1 2 3 8],1076,"Pagemaster, The (1994)"
[ 7 14 18],483,Casablanca (1942)
[ 0  7 16],1025,Fire Down Below (1997)
[4],1054,Mr. Wrong (1996)
[7],1189,Prefontaine (1997)
[7],192,Raging Bull (1980)
[0 1],431,Highlander (1986)
[19],1455,"Outlaw, The (1943)"
[4],688,Leave It to Beaver (1997)
[ 7 13],587,"Hour of the Pig, The (1993)"
[13 16],479,Vertigo (1958)
[4],428,Harold and Maude (1971)
[ 9 16],673,Cape Fear (1962)
[ 7 14],662,Somewhere in Time (1980)
[5],1011,2 Days in the Valley (1996)
[6],1497,"Line King: Al Hirschfeld, The (1996)"
[ 0 16],912,U.S. Marshalls (1998)
[7],1205,"Secret Agent, The (1996)"
[4],1230,Ready to Wear (Pret-A-Porter) (1994)
[ 5  7 16],1069,Amateur (1994)
[6],814,"Great Day in Harlem, A (1994)"
[ 5 16],1598,City of Industry (1997)
[7],1682,Scream of Stone (Schrei aus Stein) (1991)
[ 4  7 14],692,"American President, The (1995)"
[4],13,Mighty Aphrodite (1995)
[4],1067,Bottle Rocket (1996)
[ 2  3 12],418,Cinderella (1950)
[4],105,Sgt. Bilko (1996)
[ 4 14],948,Booty Call (1997)
[16],987,Underworld (1997)
[10 14],217,Bram Stoker's Dracula (1992)
[13 15],1159,Stalker (1979)
[ 4 14],702,Barcelona (1994)
[ 3  4 13],878,That Darn Cat! (1997)
[7],1665,"Brother's Kiss, A (1997)"
[ 7 14],531,Shine (1996)
[ 7 16],979,"Trigger Effect, The (1996)"
[4 7],1426,Grace of My Heart (1996)
[ 7 16],1370,I Can't Sleep (J'ai pas sommeil) (1994)
[15 16],1210,Virtuosity (1995)
[ 5 16],1083,Albino Alligator (1996)
[ 7 14],594,Heavy (1995)
[ 7 16],1273,Color of Night (1994)
[4],1544,It Takes Two (1995)
[ 7 16],106,Diabolique (1996)
[0 7],686,"Perfect World, A (1993)"
[2 4],189,"Grand Day Out, A (1992)"
[7],1398,Anna (1996)
[ 0 15 16 18],176,Aliens (1986)
[ 7 14 18],549,Rob Roy (1995)
[4],1251,A Chef in Love (1996)
[6],1201,Marlene Dietrich: Shadow and Light (1996) 
[7],1645,"Butcher Boy, The (1998)"
[ 7 14],125,Phenomenon (1996)
[4 7],1460,Sleepover (1995)
[7],1335,American Buffalo (1996)
[ 7 14],1436,Mr. Jones (1993)
[15],1386,Tetsuo II: Body Hammer (1992)
[ 0  1 15 16],164,"Abyss, The (1989)"
[9],488,Sunset Blvd. (1950)
[10],816,Candyman: Farewell to the Flesh (1995)
[ 7 18],744,Michael Collins (1996)
[0 4],1484,"Jerky Boys, The (1994)"
[4],414,My Favorite Year (1982)
[ 5  7 13],327,Cop Land (1997)
[4 7],1103,Trust (1990)
[0 5],1304,New York Cop (1996)
[ 4 14],821,Mrs. Winterbourne (1996)
[16],983,"Rich Man's Wife, The (1996)"
[ 7 14],1290,Country Life (1994)
[7],1603,Angela (1995)
[7],1566,"Man from Down Under, The (1943)"
[7],887,Eve's Bayou (1997)
[0 1],210,Indiana Jones and the Last Crusade (1989)
[0 7],1365,Johnny 100 Pesos (1993)
[ 4 14],381,Muriel's Wedding (1994)
[3 7],417,"Parent Trap, The (1961)"
[1 3],1540,"Amazing Panda Adventure, The (1995)"
[ 4 14],1474,Nina Takes a Lover (1994)
[ 0  7 13],809,Rising Sun (1993)
[4],335,How to Be a Player (1997)
[7],365,Powder (1995)
[ 7 14],906,Oscar & Lucinda (1997)
[ 0  7 14 18],631,"Crying Game, The (1992)"
[7],1233,Nénette et Boni (1996)
[0],233,Under Siege (1992)
[ 4 14],216,When Harry Met Sally... (1989)
[4 8],1036,Drop Dead Fred (1991)
[ 0  1 15 16],358,Spawn (1997)
[4],524,"Great Dictator, The (1940)"
[ 2  3 12],624,"Three Caballeros, The (1945)"
[ 5 16],1198,Purple Noon (1960)
[15 18],474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
[ 0  7 14],207,Cyrano de Bergerac (1990)
[4],153,"Fish Called Wanda, A (1988)"
[4],393,Mrs. Doubtfire (1993)
[4 7],941,With Honors (1994)
[ 4 12 14],1458,"Damsel in Distress, A (1937)"
[ 5  9 13 16],770,Devil in a Blue Dress (1995)
[ 4 10],854,Bad Taste (1987)
[ 1  3  7 12],132,"Wizard of Oz, The (1939)"
[3 4 8],892,Flubber (1997)
[4],1659,Getting Away With Murder (1996)
[ 7 16],717,"Juror, The (1996)"
[7],822,Faces (1968)
[4],1492,Window to Paris (1994)
[3 8],1292,"Simple Wish, A (1997)"
[ 4 14],1521,Mr. Wonderful (1993)
[7],664,"Paris, Texas (1984)"
[1],530,"Man Who Would Be King, The (1975)"
[0],540,Money Train (1995)
[5],844,Freeway (1996)
[7],1039,Hamlet (1996)
[4],1177,Dunston Checks In (1996)
[1 3],389,Black Beauty (1994)
[ 5  7 16],1208,Kiss of Death (1995)
[ 0  5 13],334,U Turn (1997)
[7],994,"Last Time I Committed Suicide, The (1997)"
[4],1098,Flirting With Disaster (1996)
[7],146,Unhook the Stars (1996)
[4],1271,North (1994)
[0 5],1277,Set It Off (1996)
[7],15,Mr. Holland's Opus (1995)
[ 0 16],147,"Long Kiss Goodnight, The (1996)"
[ 0  4 12],186,"Blues Brothers, The (1980)"
[7],1671,"Further Gesture, A (1996)"
[7],1359,Boys in Venice (1996)
[4],793,Crooklyn (1994)
[ 4 14],1190,That Old Feeling (1997)
[4],1242,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
[7],1590,"To Have, or Not (1995)"
[16],1471,Hideaway (1995)
[12],968,"Inspector General, The (1949)"
[7],937,"Thousand Acres, A (1997)"
[ 7 14],1211,Blue Sky (1994)
[ 0 14 16],748,"Saint, The (1997)"
[7],807,Poetic Justice (1993)
[7],1352,Shadow of Angels (Schatten der Engel) (1976)
[6],645,Paris Is Burning (1990)
[6],1594,Everest (1998)
[ 4  7 14],1424,I Like It Like That (1994)
[ 4  8 14 15],411,"Nutty Professor, The (1996)"
[4],1071,Party Girl (1995)
[ 7 14],724,Circle of Friends (1995)
[ 5  7 13 16],914,Wild Things (1998)
[7],1643,Angel Baby (1995)
[ 0  1 13 15],769,Congo (1995)
[ 7 14],1137,Beautiful Thing (1996)
[4],26,"Brothers McMullen, The (1995)"
[4],1356,Ed's Next Move (1996)
[4],433,Heathers (1989)
[4],1246,Bushwhacked (1995)
[0 4],388,Beverly Hills Cop III (1994)
[7],865,"Ice Storm, The (1997)"
[ 7 12],1121,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
[7],697,"Basketball Diaries, The (1995)"
[7],618,Picnic (1955)
[4],1644,Sudden Manhattan (1996)
[ 7 14],237,Jerry Maguire (1996)
[14],1216,Kissed (1996)
[4 7],1312,"Pompatus of Love, The (1996)"
[1],1116,"Mark of Zorro, The (1940)"
[7],1395,Hurricane Streets (1998)
[ 1  3 12],142,Bedknobs and Broomsticks (1971)
[7],799,Boys Life (1995)
[ 0  7 18],188,Full Metal Jacket (1987)
[0],263,Steel (1997)
[ 0  5 14],92,True Romance (1993)
[7],1221,When a Man Loves a Woman (1994)
[ 7 14],921,Farewell My Concubine (1993)
[ 0 14 16],68,"Crow, The (1994)"
[4],1094,"Thin Line Between Love and Hate, A (1996)"
[ 9 16],848,"Murder, My Sweet (1944)"
[4],1209,Mixed Nuts (1994)
[ 4 14],256,When the Cats Away (Chacun cherche son chat) (1996)
[ 0  1  4 10 15],184,Army of Darkness (1993)
[7],60,Three Colors: Blue (1993)
[1 3 7],78,Free Willy (1993)
[4],734,Made in America (1993)
[ 0  1  4 14],173,"Princess Bride, The (1987)"
[ 7 14],371,"Bridges of Madison County, The (1995)"
[ 1  2  3  4 12],993,Hercules (1997)
[ 2  3 12],473,James and the Giant Peach (1996)
[ 0 10],453,Jaws 3-D (1983)
[7],178,12 Angry Men (1957)
[7],1346,Dingo (1992)
[4 7],1170,Spanking the Monkey (1994)
[10],675,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
[ 7 18],935,Paradise Road (1997)
[ 1  2 15 16],206,Akira (1988)
[10 13 16],682,I Know What You Did Last Summer (1997)
[1 3],768,Casper (1995)
[ 9 16],1422,Suture (1993)
[7],454,Bastard Out of Carolina (1996)
[ 0  1 16],930,Chain Reaction (1996)
[7],1224,"Scout, The (1994)"
[14],1563,"Promise, The (Versprechen, Das) (1994)"
[19],621,"Davy Crockett, King of the Wild Frontier (1955)"
[ 0  4 18],80,Hot Shots! Part Deux (1993)
[ 4 16],1670,Tainted (1998)
[7],676,"Crucible, The (1996)"
[0],1372,"Stranger, The (1994)"
[ 7 14],714,Carrington (1995)
[ 0 19],177,"Good, The Bad and The Ugly, The (1966)"
[16],1073,Shallow Grave (1994)
[ 7 14],1119,Some Kind of Wonderful (1987)
[7],1538,All Over Me (1997)
[4],1461,Here Comes Cookie (1935)
[ 4 18],211,M*A*S*H (1970)
[ 2 15],1240,Ghost in the Shell (Kokaku kidotai) (1995)
[ 4 13],805,Manhattan Murder Mystery (1993)
[ 0 15 16],1596,Nemesis 2: Nebula (1995)
[7],1447,Century (1993)
[7],1619,All Things Fair (1996)
[6],115,"Haunted World of Edward D. Wood Jr., The (1995)"
[7],1008,I Shot Andy Warhol (1996)
[ 4 14],111,"Truth About Cats & Dogs, The (1996)"
[4],1007,Waiting for Guffman (1996)
[0],1222,Judgment Night (1993)
[ 4 18],1185,In the Army Now (1994)
[4 7],1631,"Slingshot, The (1993)"
[ 4 14],1072,"Pyromaniac's Love Story, A (1995)"
[7],867,"Whole Wide World, The (1996)"
[1 3],1503,Gold Diggers: The Secret of Bear Mountain (1995)
[ 7 14],1173,Bliss (1997)
[ 0  7 18],515,"Boot, Das (1981)"
[7],19,Antonia's Line (1995)
[ 2  3 12],420,Alice in Wonderland (1951)
[8],1576,"Hungarian Fairy Tale, A (1987)"
[7],1543,Johns (1996)
[7],985,Blood & Wine (1997)
[7],6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
[4],1349,Mille bolle blu (1993)
[7],1310,"Walk in the Sun, A (1945)"
[12],1459,Madame Butterfly (1995)
[7],503,"Candidate, The (1972)"
[4],497,Bringing Up Baby (1938)
[7],1107,Beyond Rangoon (1995)
[0 1 8],472,Dragonheart (1996)
[ 7 14],421,William Shakespeare's Romeo and Juliet (1996)
[4],1404,Withnail and I (1987)
[0 5 7],806,Menace II Society (1993)
[4],585,Son in Law (1993)
[ 0  7 16],1556,Condition Red (1995)
[6],1084,Anne Frank Remembered (1995)
[ 4 10],853,Braindead (1992)
[14],1580,Liebelei (1933)
[0 1 5],576,Cliffhanger (1993)
[1 3],1279,Wild America (1997)
[ 7 10],559,Interview with the Vampire (1994)
[ 4  5 13 16],902,"Big Lebowski, The (1998)"
[4],780,Dumb & Dumber (1994)
[ 7 14],306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
[ 7 14],1406,When Night Is Falling (1995)
[0 1],266,Kull the Conqueror (1997)
[ 0 10],234,Jaws (1975)
[7],909,Dangerous Beauty (1998)
[ 4 12],965,Funny Face (1957)
[ 0  7 16],28,Apollo 13 (1995)
[1 3 7],35,Free Willy 2: The Adventure Home (1995)
[ 9 13],525,"Big Sleep, The (1946)"
[13],1581,"Woman in Question, The (1950)"
[ 1 15],919,"City of Lost Children, The (1995)"
[ 2  3  4 12],95,Aladdin (1992)
[4],1254,Gone Fishin' (1997)
[7],366,Dangerous Minds (1995)
[0],27,Bad Boys (1995)
[4],1567,Careful (1992)
[7],1443,8 Seconds (1994)
[ 9 15 16],691,Dark City (1998)
[7],1009,Stealing Beauty (1996)
[7],1343,Lotto Land (1995)
[7],1564,To Cross the Rubicon (1991)
[4 7],236,Citizen Ruth (1996)
[7],1144,"Quiet Room, The (1996)"
[4],1234,Chairman of the Board (1998)
[4 7],1614,"Reluctant Debutante, The (1958)"
[7],1430,Ill Gotten Gains (1997)
[4],801,"Air Up There, The (1994)"
[ 0 15 16],916,Lost in Space (1998)
[6],1629,Nico Icon (1995)
[5 7],1505,Killer: A Journal of Murder (1995)
[16],773,Mute Witness (1994)
[4],1570,Quartier Mozart (1992)
[ 7 14],1441,Moonlight and Valentino (1995)
[6],1022,"Fast, Cheap & Out of Control (1997)"
[14],872,Love Jones (1997)
[10],439,Amityville: A New Generation (1993)
[4 7],1627,"Wife, The (1995)"
[10 16],895,Scream 2 (1997)
[4],1080,Celestial Clockwork (1994)
[ 5 10 13 16],307,"Devil's Advocate, The (1997)"
[ 4 14],580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
[6],1562,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
[ 7 12],1153,Backbeat (1993)
[10],669,Body Parts (1991)
[2 3],969,Winnie the Pooh and the Blustery Day (1968)
[1 3 7],457,Free Willy 3: The Rescue (1997)
[ 4  7 14],1100,What Happened Was... (1994)
[7],1214,In the Realm of the Senses (Ai no corrida) (1976)
[ 7 18],199,"Bridge on the River Kwai, The (1957)"
[10 16],834,Halloween: The Curse of Michael Myers (1995)
[7],1193,Before the Rain (Pred dozhdot) (1994)
[ 5  9 16],823,Mulholland Falls (1996)
[ 0 15 16],976,Solo (1996)
[7],1053,Now and Then (1995)
[ 0  1  4 15],257,Men in Black (1997)
[4],845,That Thing You Do! (1996)
[10],448,"Omen, The (1976)"
[ 0  7 14],1483,"Man in the Iron Mask, The (1998)"
[4],1500,Santa with Muscles (1996)
[4 6],1649,"Big One, The (1997)"
[7],617,"Blue Angel, The (Blaue Engel, Der) (1930)"
[ 4 12],1298,"Band Wagon, The (1953)"
[10 15],616,Night of the Living Dead (1968)
[7],1112,Cobb (1994)
[ 4 14],49,I.Q. (1994)
[ 4 14],836,Ninotchka (1939)
[5 7],1122,They Made Me a Criminal (1939)
[ 4 14],1487,Even Cowgirls Get the Blues (1993)
[7],287,Marvin's Room (1996)
[0 1 4],399,"Three Musketeers, The (1993)"
[4],1498,Farmer & Chase (1995)
[6],1482,"Gate of Heavenly Peace, The (1995)"
[ 4 13 14],394,Radioland Murders (1994)
[5],1081,Curdled (1996)
[ 4  7 18],944,Renaissance Man (1994)
[2 4],240,Beavis and Butt-head Do America (1996)
[0],1414,Coldblooded (1995)
[10 16],565,Village of the Damned (1995)
[4],1029,Jury Duty (1995)
[4 7],964,"Month by the Lake, A (1995)"
[ 4 14],1568,Vermont Is For Lovers (1992)
[ 9 14 16],489,Notorious (1946)
[7],303,Ulee's Gold (1997)
[ 0  4 12 15],1110,Tank Girl (1995)
[ 7 18],1176,Welcome To Sarajevo (1997)
[ 4 15],728,Junior (1994)
[5 7],1156,Cyclo (1995)
[ 0  2  3 15 16 18],426,"Transformers: The Movie, The (1986)"
[3 7],584,"Secret Garden, The (1993)"
[ 4 14],255,My Best Friend's Wedding (1997)
[7],59,Three Colors: Red (1994)
[6],766,Man of the Year (1995)
[6],850,"Perfect Candidate, A (1996)"
[7],1256,"Designated Mourner, The (1997)"
[ 4 14],1377,Hotel de Love (1996)
[7],37,Nadja (1994)
[5 7],1519,New Jersey Drive (1995)
[4],819,Eddie (1996)
[ 7 10],569,Wolf (1994)
[ 0 16],684,In the Line of Fire (1993)
[ 0  1 15],228,Star Trek: The Wrath of Khan (1982)
[ 7 16],619,Extreme Measures (1996)
[4],1654,Chairman of the Board (1998)
[ 1 14],1515,Wings of Courage (1995)
[ 0 10 15 16],665,Alien 3 (1992)
[10],442,"Amityville Curse, The (1990)"
[5],1606,Deceiver (1997)
[16],943,Killing Zoe (1994)
[4],425,Bob Roberts (1992)
[ 4 14],66,While You Were Sleeping (1995)
[3 7],1200,Kim (1950)
[ 0 14],849,Days of Thunder (1990)
[1 3],1469,Tom and Huck (1995)
[12 14],155,Dirty Dancing (1987)
[4 7],904,Ma vie en rose (My Life in Pink) (1997)
[5 7],1191,"Letter From Death Row, A (1998)"
[6],1585,American Dream (1990)
[10],440,Amityville II: The Possession (1982)
[ 7 14],14,"Postino, Il (1994)"
